full_name,language,stars,forks,contributors,commits,engagement_rate,issue_resolution_rate,commits_per_contributor,engagement_per_star,popularity_vs_activity,commits_per_day,issues_per_day
files-community/Files,C#,39730,2472,308,6563,1.062219984898062,0.9555370678498798,21.308441558441558,0.007752328215454317,128.9935064935065,2.652789005658852,4.3726758286176235
QSCTech/zju-icicles,HTML,39597,9573,135,1551,1.2417607394499584,0.8625,11.488888888888889,0.0034093491931206908,293.31111111111113,0.4569829110194461,0.02357100766057749
jgm/pandoc,Haskell,39588,3656,609,18505,1.0923512175406689,0.8716465665764214,30.385878489326764,0.015383449530160655,65.00492610837438,3.2544846992613436,1.4291241646148434
curl/curl,C,39546,6900,1446,36470,1.174480351995145,0.9923853036360175,25.221300138312586,0.036565012896373844,27.348547717842322,6.41287146122736,0.9236855987339546
php/php-src,C,39527,7954,1560,143504,1.2012295393022492,0.7058935723822239,91.98974358974358,0.039466693652440106,25.337820512820514,27.422893177909422,1.0019109497420218
evanw/esbuild,Go,39359,1240,120,4321,1.031504865469143,0.8500260824204486,36.00833333333333,0.0030488579486267434,327.9916666666667,1.2678990610328638,1.125
zhayujie/chatgpt-on-wechat,Python,39356,9448,95,1365,1.2400650472609005,0.828780487804878,14.368421052631579,0.0024138631974794187,414.2736842105263,1.173688736027515,1.76268271711092
makeplane/plane,TypeScript,39332,2770,131,6441,1.07042611613953,0.6205698401667825,49.16793893129771,0.0033306213769958306,300.2442748091603,6.0821529745042495,1.3588290840415487
ray-project/ray,Python,39307,6770,1371,27500,1.1722339532398809,0.8559569421638387,20.058351568198397,0.03487928358816496,28.670313639679065,8.396946564885496,6.694351145038168
remoteintech/remote-jobs,JavaScript,39291,3849,958,2987,1.097961365198137,0.8099547511312217,3.117954070981211,0.02438217403476623,41.01356993736952,0.8176840952641664,0.060498220640569395
DIYgod/RSSHub,TypeScript,39255,8608,1558,15250,1.219284167621959,0.9360399548896408,9.78818998716303,0.03968921156540568,25.19576379974326,5.543438749545619,2.2562704471101416
tmux/tmux,C,39248,2281,40,10636,1.0581176110884631,0.9818521483853749,265.9,0.0010191602119853241,981.2,2.8107822410147993,0.9902219873150105
pingcap/tidb,Go,39172,6029,1026,26977,1.1539109568058818,0.7652460456942004,26.29337231968811,0.026192178086388237,38.17933723196881,7.310840108401084,6.168021680216802
ccxt/ccxt,Python,39163,8269,856,91165,1.211143170850037,0.8847087378640777,106.50116822429906,0.0218573653703751,45.751168224299064,29.65679895901106,3.752765126870527
videojs/video.js,JavaScript,39162,7519,545,4186,1.191997344364435,0.885593220338983,7.680733944954128,0.013916551759358561,71.85688073394495,0.7433848339548925,0.963949564908542
lm-sys/FastChat,Python,39148,4760,246,890,1.121589864105446,0.5266798418972332,3.6178861788617884,0.006283845918054562,159.1382113821138,0.9478168264110756,2.1554845580404685
crewAIInc/crewAI,Python,39130,5202,265,1753,1.1329414771275237,0.9250153657037492,6.615094339622641,0.006772297469971889,147.66037735849056,2.4449093444909344,2.269177126917713
Dogfalo/materialize,JavaScript,39117,4690,306,3878,1.1198967200961218,0.8531104921077066,12.673202614379084,0.007822685788787484,127.83333333333333,0.9577673499629538,1.3299580143245247
vim/vim,Vim Script,39086,5841,661,22322,1.1494396970782377,0.8279299014238773,33.77004538577912,0.016911426086066623,59.13161875945537,6.018333782690752,2.4615799406848207
go-gorm/gorm,Go,38970,4107,454,2767,1.1053887605850654,0.9181112762093445,6.094713656387666,0.011649987169617654,85.83700440528635,0.6330359185541066,1.3857240905971173
aria2/aria2,C++,38942,3759,74,5437,1.0965281700991218,0.42386831275720166,73.47297297297297,0.0019002619279954805,526.2432432432432,1.000552079499448,0.3577475156422525
saadeghi/daisyui,Svelte,38938,1547,293,2754,1.0397298269043094,0.9906033630069239,9.399317406143345,0.007524782988340439,132.89419795221843,1.548060708263069,1.136593591905565
logseq/logseq,Clojure,38903,2334,304,21684,1.0599953731074725,0.8482698531242221,71.32894736842105,0.007814307379893581,127.97039473684211,11.012696800406298,4.080243778567801
cloudcommunity/Free-Certifications,,38896,2644,81,329,1.0679761415055533,0.5390625,4.061728395061729,0.0020824763471822294,480.1975308641975,0.1731578947368421,0.06736842105263158
trpc/trpc,TypeScript,38640,1422,484,4684,1.0368012422360249,0.8470066518847007,9.677685950413224,0.012525879917184264,79.83471074380165,2.4485101934134867,0.7072660742289597
google/styleguide,HTML,38601,12999,122,576,1.3367529338618171,0.5906862745098039,4.721311475409836,0.003160539882386467,316.4016393442623,0.1516188470650171,0.10739668333772046
photoprism/photoprism,Go,38557,2159,187,11890,1.055995020359468,0.813272877164056,63.58288770053476,0.004849962393339731,206.18716577540107,4.222301136363637,0.8615056818181818
QuivrHQ/quivr,Python,38507,3677,119,2295,1.095489131846158,0.9883870967741936,19.285714285714285,0.003090347209598255,323.5882352941176,2.5961538461538463,1.753393665158371
phaserjs/phaser,JavaScript,38497,7123,662,20083,1.1850274047328364,0.9745098039215686,30.336858006042295,0.01719614515416786,58.15256797583081,4.397416246989271,1.0050361287497263
hiroi-sora/Umi-OCR,Python,38487,3789,17,1265,1.0984488268766077,0.6420525657071339,74.41176470588235,0.0004417075895757009,2263.9411764705883,0.9768339768339769,0.616988416988417
siyuan-note/siyuan,TypeScript,38449,2358,85,19636,1.0613279929256938,0.9733559720498922,231.01176470588234,0.0022107206949465528,452.3411764705882,10.500534759358288,8.188770053475936
calcom/cal.com,TypeScript,38403,10759,832,14420,1.2801604041350936,0.8546086956521739,17.33173076923077,0.02166497409056584,46.15745192307692,8.655462184873949,5.177070828331333
impress/impress.js,JavaScript,38359,6636,92,423,1.172997210563362,0.8657314629258517,4.5978260869565215,0.002398394118720509,416.94565217391306,0.08397855866587255,0.09906690490371253
fastapi/full-stack-fastapi-template,TypeScript,38296,7371,71,975,1.1924744098600375,0.8340425531914893,13.732394366197184,0.0018539795278880301,539.3802816901408,0.40222772277227725,0.19389438943894388
koalaman/shellcheck,Haskell,38216,1871,167,2156,1.0489585513920872,0.5970974429854872,12.910179640718562,0.0043698974251622355,228.83832335329342,0.4574580946318693,0.6140462550392531
menloresearch/jan,TypeScript,38204,2296,116,6516,1.060098419013716,0.9524119947848761,56.172413793103445,0.0030363312742121245,329.3448275862069,8.269035532994923,3.8934010152284264
DataExpert-io/data-engineer-handbook,Jupyter Notebook,38184,7338,137,476,1.1921747328724073,0.7191011235955056,3.4744525547445257,0.0035878902157971924,278.7153284671533,0.6858789625360231,0.1282420749279539
appsmithorg/appsmith,TypeScript,38174,4287,374,20121,1.112301566511238,0.8136496257769884,53.79946524064171,0.009797244197621418,102.06951871657753,10.41998964267219,12.24702226825479
gofiber/fiber,Go,38134,1887,420,4473,1.049483400639849,0.9479949874686717,10.65,0.01101379346514921,90.79523809523809,2.133047210300429,0.7610872675250357
PhilJay/MPAndroidChart,Java,38120,9057,81,2072,1.237591815320042,0.5693516699410609,25.580246913580247,0.002124868835257083,470.61728395061726,0.4946287896872762,1.2150871329672952
payloadcms/payload,TypeScript,38106,2995,456,14276,1.0785965464756206,0.8258003766478342,31.30701754385965,0.011966619430011021,83.5657894736842,8.195177956371987,2.4385763490241104
preactjs/preact,JavaScript,38061,2019,364,6060,1.0530464254748955,0.9310171198388721,16.64835164835165,0.009563595281259031,104.56318681318682,1.644504748982361,0.5389416553595658
novuhq/novu,TypeScript,37991,4139,480,20567,1.1089468558342765,0.9080459770114943,42.84791666666667,0.012634571345845069,79.14791666666666,13.629555997349238,1.095427435387674
2noise/ChatTTS,Python,37957,4111,55,421,1.1083067681850516,0.9042553191489362,7.654545454545454,0.0014490080880996917,690.1272727272727,0.8353174603174603,1.3055555555555556
Aider-AI/aider,Python,37922,3567,174,13029,1.0940614946469067,0.683706874842609,74.87931034482759,0.0045883655925320396,217.94252873563218,14.672297297297296,4.471846846846847
milvus-io/milvus,Go,37899,3469,331,23254,1.091532758120267,0.9464657686432439,70.25377643504531,0.008733739676508616,114.49848942598187,10.479495268138802,6.490310950878774
NanmiCoder/MediaCrawler,Python,37858,8661,61,621,1.2287759522425907,0.78515625,10.180327868852459,0.0016112842728089175,620.6229508196722,0.7246207701283547,0.5974329054842473
gto76/python-cheatsheet,Python,37844,6680,14,2804,1.1765141105591375,0.7317073170731707,200.28571428571428,0.0003699397526688511,2703.1428571428573,0.9950319375443577,0.029098651525904896
ant-design/ant-design-pro,TypeScript,37563,8210,361,2643,1.2185661422144132,0.9840262133934057,7.321329639889196,0.009610520991401113,104.05263157894737,0.8895994614607876,3.2871087176035005
istio/istio,Go,37518,8096,1354,25506,1.2157897542512928,0.9766298239040839,18.83751846381093,0.036089343781651476,27.70901033973412,7.848,6.569846153846154
freeCodeCamp/devdocs,Ruby,37499,2506,263,6377,1.0668284487586335,0.8205329153605015,24.247148288973385,0.007013520360542948,142.58174904942965,1.4586001829826167,0.2918572735590119
usebruno/bruno,JavaScript,37496,1890,380,3366,1.050405376573501,0.5596801827527127,8.857894736842105,0.010134414337529336,98.67368421052632,3.026978417266187,3.1492805755395685
facebookresearch/faiss,C++,37486,4063,249,1592,1.1083871311956464,0.8937795562022554,6.393574297188755,0.006642479859147415,150.54618473895582,0.5022082018927445,0.867192429022082
opencv/opencv,C++,84466,56329,2329,35605,1.6668837165249923,0.7604869077852702,15.287677114641477,0.027573224729476948,36.267067410905966,7.36553578816715,2.362225899875879
sveltejs/svelte,JavaScript,84367,4647,867,10622,1.0550807780293243,0.8953139427516159,12.251441753171857,0.010276529922837127,97.30911188004613,3.2693136349646044,2.6666666666666665
gohugoio/hugo,Go,84137,8054,900,9206,1.0957248297419684,0.9391746031746032,10.22888888888889,0.01069683967814398,93.48555555555555,2.0530776092774308,1.7562444246208742
mermaid-js/mermaid,TypeScript,83459,8172,740,13719,1.0979163421560287,0.5868725868725869,18.53918918918919,0.00886662912328209,112.78243243243243,3.431465732866433,0.9069534767383692
gothinkster/realworld,TypeScript,82411,7516,90,1039,1.0912014172865272,0.9113924050632911,11.544444444444444,0.0010920872213660798,915.6777777777778,0.29542223485925506,0.1572362809212397
home-assistant/core,Python,81942,35483,4942,100016,1.4330257987356911,0.9543233053542892,20.237960339943342,0.06031095164872715,16.58073654390935,22.684508958947607,14.618507598094807
oven-sh/bun,Zig,81292,3396,855,13808,1.0417753284456035,0.6235675824934419,16.14970760233918,0.010517640112188162,95.07836257309941,8.404138770541692,8.816798539257455
3b1b/manim,Python,81172,6898,190,6344,1.0849800423791456,0.6156957928802589,33.38947368421053,0.0023407086187355246,427.22105263157897,1.6443753240020735,0.3203732503888025
immich-app/immich,TypeScript,81145,4261,747,8358,1.0525109372111652,0.91793485990613,11.188755020080322,0.009205742806087868,108.62784471218207,6.200296735905044,5.215875370919881
tonsky/FiraCode,Clojure,80288,3174,128,614,1.039532682343563,0.6954941860465116,4.796875,0.0015942606616181746,627.25,0.1539232890448734,0.3449486086738531
bregman-arie/devops-exercises,Python,79341,17945,216,792,1.2261756216836188,0.6274509803921569,3.6666666666666665,0.002722425984043559,367.31944444444446,0.35967302452316074,0.04632152588555858
spring-projects/spring-boot,Java,78667,41557,1488,57714,1.5282647107427512,0.9841743579454254,38.78629032258065,0.01891517408824539,52.86760752688172,12.170814002530578,8.408266554196542
MunGell/awesome-for-beginners,,78583,7497,341,893,1.0954023134774697,0.7854077253218884,2.6187683284457477,0.004339360930481147,230.44868035190615,0.24519494783086215,0.06397583745194947
doocs/advanced-java,Java,78359,19273,49,777,1.2459577074745722,0.9931972789115646,15.857142857142858,0.0006253270205081739,1599.1632653061224,0.3030421216848674,0.057332293291731666
microsoft/playwright,TypeScript,78149,4680,663,15476,1.0598856031427146,0.9659227985524729,23.34238310708899,0.008483793778551229,117.87179487179488,7.16813339509032,7.679481241315424
microsoft/ML-For-Beginners,Jupyter Notebook,78007,17862,142,1812,1.228979450562129,0.993421052631579,12.76056338028169,0.0018203494558180675,549.3450704225352,1.0753709198813057,0.09020771513353115
clash-verge-rev/clash-verge-rev,TypeScript,77782,5808,113,3262,1.0746702321873955,0.9375,28.86725663716814,0.0014527782777506363,688.3362831858407,4.713872832369942,6.057803468208093
tensorflow/models,Python,77638,45451,949,9668,1.5854220871222855,0.8316884502534009,10.187565858798736,0.012223395759808341,81.81032665964173,2.7326172979084227,2.1192764273600906
ruanyf/weekly,,76984,3658,70,757,1.0475163670373064,0.15203252032520326,10.814285714285715,0.0009092798503585161,1099.7714285714285,0.2960500586624951,2.8861947594837702
nomic-ai/gpt4all,C++,76798,8290,122,2289,1.107945519414568,0.6680143755615454,18.762295081967213,0.001588583036016563,629.4918032786885,2.4586466165413534,2.3909774436090228
syncthing/syncthing,Go,76790,4798,371,7962,1.0624820940226591,0.9385174922064426,21.460916442048518,0.004831358249772106,206.9811320754717,1.8349850195897672,1.3307213643696705
anuraghazra/github-readme-stats,JavaScript,76457,26559,315,1707,1.3473717252834927,0.8538681948424068,5.419047619047619,0.00411996285493807,242.72063492063492,0.8881373569198752,0.7263267429760666
netdata/netdata,C,76367,6195,667,21073,1.081121426794296,0.9712405556909578,31.59370314842579,0.008734139091492399,114.49325337331334,4.681848478115974,1.8231504110197734
