linguagem,count,mean,median,std
TypeScript,56,0.8644491406318843,0.9118731641343167,0.13110895336897518
JavaScript,32,0.8411575454401662,0.8806022706226367,0.14559517462483904
Java,11,0.846863715985979,0.8772119411049575,0.13228654581325588
Go,24,0.855484708563552,0.8555363644870867,0.09424129210938616
C++,16,0.7833746010400562,0.8529234599586266,0.1917298398004933
Python,60,0.7825433797168274,0.8345411089793917,0.1846646405378981
Rust,14,0.831297153119635,0.8144522538507324,0.10565082010660629
